Idx;AddrHex;AddrDec;He;x;Byte_1;Byte_2;UInt16;Int16   Chr;Bin;;;;Beschreibung;Kurzname ;Einheit ;Umrechungsfaktor;1 Prüfung  ;Datum ;2 Prüfung ;Datum 
0;0x0001;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1;0x0002;2;0;1;0;1;1;1;0;0;0;1;;;;;;;;
2;0x0003;3;0;1;0;1;1;1;0;0;0;1;;;;;;;;
3;0x0004;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;
4;0x0005;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;
5;0x0006;6;0;1;0;1;1;1;0;0;0;1;"Betriebsmeldung [ 0 .. Aus; 1 .. Ein] / Wenn 0 Aus ist wohl der Hauptschalter ausgeschaltet ?";;;;;;;
6;0x0007;7;AB;F2;171;242;44018;-21518;1010;1011;1111;10;;;;;;;;
7;0x0008;8;0;3;0;3;3;3;0;0;0;11;;;;;;;;
8;0x0009;9;0;0;0;0;0;0;0;0;0;0;;;;;;;;
9;0x000a;10;0;0;0;0;0;0;0;0;0;0;;;;;;;;
10;0x000b;11;0;3;0;3;3;3;0;0;0;11;;;;;;;;
11;0x000c;12;0;17;0;23;23;23;0;0;1;111;;;;;;;;
12;0x000d;13;0;17;0;23;23;23;0;0;1;111;;;;;;;;
13;0x000e;14;0;0;0;0;0;0;0;0;0;0;;;;;;;;
14;0x000f;15;0;3;0;3;3;3;0;0;0;11;;;;;;;;
18;0x0013;19;0;1;0;1;1;1;0;0;0;1;;;;;;;;
19;0x0014;20;0;0;0;0;0;0;0;0;0;0;;;;;;;;
20;0x0015;21;0;0;0;0;0;0;0;0;0;0;;;;;;;;
21;0x0016;22;0;0;0;0;0;0;0;0;0;0;;;;;;;;
22;0x0017;23;0;0;0;0;0;0;0;0;0;0;;;;;;;;
23;0x0018;24;0;0;0;0;0;0;0;0;0;0;;;;;;;;
24;0x0019;25;0;0;0;0;0;0;0;0;0;0;;;;;;;;
25;0x001a;26;0;0;0;0;0;0;0;0;0;0;;;;;;;;
26;0x001b;27;0;0;0;0;0;0;0;0;0;0;;;;;;;;
28;0x001d;29;0;1;0;1;1;1;0;0;0;1;;;;;;;;
29;0x001e;30;0;0;0;0;0;0;0;0;0;0;;;;;;;;
30;0x001f;31;0;0;0;0;0;0;0;0;0;0;;;;;;;;
31;0x0020;32;0;1;0;1;1;1;0;0;0;1;;;;;;;;
32;0x0021;33;0;0;0;0;0;0;0;0;0;0;;;;;;;;
33;0x0022;34;0;0;0;0;0;0;0;0;0;0;;;;;;;;
34;0x0023;35;0;0;0;0;0;0;0;0;0;0;;;;;;;;
35;0x0024;36;0;0;0;0;0;0;0;0;0;0;;;;;;;;
36;0x0025;37;0;0;0;0;0;0;0;0;0;0;;;;;;;;
37;0x0026;38;0;0;0;0;0;0;0;0;0;0;;;;;;;;
38;0x0027;39;0;0;0;0;0;0;0;0;0;0;;;;;;;;
39;0x0028;40;0;0;0;0;0;0;0;0;0;0;;;;;;;;
40;0x0029;41;0;0;0;0;0;0;0;0;0;0;;;;;;;;
41;0x002a;42;0;0;0;0;0;0;0;0;0;0;;;;;;;;
42;0x002b;43;0;0;0;0;0;0;0;0;0;0;;;;;;;;
48;0x0031;49;1;8C;1;140;396;396;0;1;1000;1100;;;;;;;;
49;0x0032;50;0;2;0;2;2;2;0;0;0;10;Controler;temperatureReTe      ;;; ??;;;
51;0x0034;52;0;19;0;25;25;25;0;0;1;1001;;;;;;;;
53;0x0036;54;0D;5A;13;90;3418;3418;0;1101;101;1010;;;;;;;;
55;0x0038;56;0;0;0;0;0;0;0;0;0;0;;;;;;;;
56;0x0039;57;0;0;0;0;0;0;0;0;0;0;;;;;;;;
58;0x003b;59;1;5A;1;90;346;346;0;1;101;1010;;;;;;;;
59;0x003c;60;1;68;1;104;360;360;0;1;110;1000;;;;;;;;
60;0x003d;61;1;41;1;65;321;321;0;1;100;1;;;;;;;;
61;0x003e;62;1;62;1;98;354;354;0;1;110;10;;;;;;;;
62;0x003f;63;1;1;1;1;257;257;0;1;0;1;;;;;;;;
63;0x0040;64;0;F4;0;244;244;244;0;0;1111;100;;;;;;;;
64;0x0041;65;0;8F;0;143;143;143;0;0;1000;1111;;;;;;;;
65;0x0042;66;1;ED;1;237;493;493;0;1;1110;1101;;;;;;;;
66;0x0043;67;1;8C;1;140;396;396;0;1;1000;1100;;;;;;;;
67;0x0044;68;1;D6;1;214;470;470;0;1;1101;110;;;;;;;;
68;0x0045;69;1;D5;1;213;469;469;0;1;1101;101;Temp. DHW-Tank;upperSpo;   C° = Temperature;;;;;
69;0x0046;70;1;BE;1;190;446;446;0;1;1011;1110;Temp. DHW-Tank;middleSpm;   C° = Temperature;;;;;
70;0x0047;71;80;1;128;1;32769;-32767;1000;0;0;1;Temp. Heating Tank    ;      lowerSpu        ;   C° = Temperature;;;;;
71;0x0048;72;0;AB;0;171;171;171;0;0;1010;1011;;;;;;;;
72;0x0049;73;0;9A;0;154;154;154;0;0;1001;1010;;;;;;;;
73;0x004a;74;27;36;39;54;10038;10038   '6;10;111;11;110;;;;;;;;
74;0x004b;75;4;69;4;105;1129;1129;0;100;110;1001;;;;;;;;
75;0x004c;76;0;0;0;0;0;0;0;0;0;0;;;;;;;;
76;0x004d;77;0;0;0;0;0;0;0;0;0;0;;;;;;;;
77;0x004e;78;0;0;0;0;0;0;0;0;0;0;Heating Power;;kW;x*0.001;Geprüft_PW                        ;;;
78;0x004f;79;27;10;39;16;10000;10000;10;111;1;0;;;;;;;;
79;0x0050;80;27;10;39;16;10000;10000;10;111;1;0;;;;;;;;
80;0x0051;81;1E;3C;30;60;7740;7740;1;1110;11;1100;;;;;;;;
81;0x0052;82;0;0;0;0;0;0;0;0;0;0;;;;;;;;
82;0x0053;83;0;0;0;0;0;0;0;0;0;0;;;;;;;;
83;0x0054;84;7;D0;7;208;2000;2000;0;111;1101;0;;;;;;;;
84;0x0055;85;0;0;0;0;0;0;0;0;0;0;;;;;;;;
85;0x0056;86;0;0;0;0;0;0;0;0;0;0;;;;;;;;
86;0x0057;87;0;0;0;0;0;0;0;0;0;0;;;;;;;;
87;0x0058;88;0;E4;0;228;228;228;0;0;1110;100;;;;;;;;
88;0x0059;89;0;0;0;0;0;0;0;0;0;0;;;;;;;;
89;0x005a;90;0;0;0;0;0;0;0;0;0;0;;;;;;;;
90;0x005b;91;0;0;0;0;0;0;0;0;0;0;;;;;;;;
91;0x005c;92;0;0;0;0;0;0;0;0;0;0;;;;;;;;
92;0x005d;93;0;0;0;0;0;0;0;0;0;0;;;;;;;;
93;0x005e;94;0;0;0;0;0;0;0;0;0;0;;;;;;;;
98;0x0063;99;0;3C;0;60;60;60;0;0;11;1100;;;;;;;;
99;0x0064;100;0;5B;0;91;91;91;0;0;101;1011;KLT_DRUCK_ND            R;Low pressure;bar;x/10;;;;
100;0x0065;101;1;5A;1;90;346;346;0;1;101;1010;KLT_DRUCK_HD;;bar;x/10;;;;
101;0x0066;102;1;68;1;104;360;360;0;1;110;1000;KLT_TEMP_Heißgas;;bar;x/10;;;;
102;0x0067;103;1;41;1;65;321;321;0;1;100;1;KLT_TEMP_sauggas;;bar;x/10;;;;
103;0x0068;104;1;62;1;98;354;354;0;1;110;10;KLT_TEMP_EQein;;bar;x/10;;;;
104;0x0069;105;1;10;1;16;272;272;0;1;1;0;KLT_TEMP_EQaus;;bar;x/10;;;;
105;0x006a;106;0;85;0;133;133;133;0;0;1000;101;KLT_TEMP_Kondensat;;bar;x/10;;;;
106;0x006b;107;0;0;0;0;0;0;0;0;0;0;KLT_TEMP_Verdampfung;;bar;x/10;;;;
107;0x006c;108;1;92;1;146;402;402;0;1;1001;10;KLT_EEVprozent;R EEV position;%;;;;;
108;0x006d;109;0;0;0;0;0;0;0;0;0;0;;;;;;;;
109;0x006e;110;0;E3;0;227;227;227;0;0;1110;11;;;;;;;;
110;0x006f;111;0;7D;0;125;125;125;0;0;111;1101;;;;;;;;
111;0x0070;112;0;0;0;0;0;0;0;0;0;0;;;;;;;;
112;0x0071;113;0;8F;0;143;143;143;0;0;1000;1111;EQ_PUMPE_%;;;;R Energy source pump power;;;
117;0x0076;118;3;20;3;32;800;800;0;11;10;0;;;;;;;;
118;0x0077;119;1;90;1;144;400;400;0;1;1001;0;;;;;;;;
119;0x0078;120;0;C8;0;200;200;200;0;0;1100;1000;;;;;;;;
120;0x0079;121;0;0;0;0;0;0;0;0;0;0;;;;;;;;
121;0x007a;122;0;0;0;0;0;0;0;0;0;0;;;;;;;;
122;0x007b;123;0;40;0;64;64;64;0;0;100;0;;;;;;;;
123;0x007c;124;0;5B;0;91;91;91;0;0;101;1011;;;;;;;;
198;0x00c7;199;0;1;0;1;1;1;0;0;0;1;;;;;;;;
199;0x00c8;200;1;D6;1;214;470;470;0;1;1101;110;;;;;;;;
200;0x00c9;201;1;D5;1;213;469;469;0;1;1101;101;;;;;;;;
201;0x00ca;202;1;EC;1;236;492;492;0;1;1110;1100;;;;;;;;
202;0x00cb;203;0;0;0;0;0;0;0;0;0;0;Zapf.Ist;DoT;;;Geprüft_PW            C° = Temperature/10;;;
203;0x00cc;204;1;C2;1;194;450;450;0;1;1100;10;;;;;;;;
204;0x00cd;205;13;88;19;136;5000;5000;1;11;1000;1000;;;;;;;;
205;0x00ce;206;0;0;0;0;0;0;0;0;0;0;;;;;;;;
206;0x00cf;207;27;10;39;16;10000;10000;10;111;1;0;;;;;;;;
